Name,Series,Description,Author,Age,Rating_out_of_5,No_of_Ratings,Price,Price_Befor,Cover_Type,Publication_Date,Product_Details,Best_Seller,Link
Anne Frank: The Diary of a Young Girl,,"
Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.  In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.Praise for The Diary of a Young Girl“A truly remarkable book.”—The New York Times “One of the most moving personal documents to come out of World War II.”—The Philadelphia Inquirer “There may be no better way to commemorate the fiftieth anniversary of the end of World War II than to reread The Diary of a Young Girl, a testament to an indestructible nobility of spirit in the face of pure evil.”—Chicago Tribune“The single most compelling personal account of the Holocaust . . . remains astonishing and excruciating.”—The New York Times Book Review “How brilliantly Anne Frank captures the self-conscious alienation and naïve self-absorption of adolescence.”—Newsday

",Anne Frank,Ages: 10 years and up,4.8,9.013,$3.00,$6.99,Mass Market Paperback,1993-06-01,"



Product details





ASIN
:

0553296981


Publisher
:

Bantam; Reissue edition (June 1, 1993)


Language
:

English


Mass Market Paperback
:

283 pages


ISBN-10
:

9780553296983


ISBN-13
:

978-0553296983


Reading age
:

10 - 13 years


Lexile measure
:

1020L


Item Weight
:

4.8 ounces


Dimensions
:

4.2 x 0.8 x 6.9 inches






Best Sellers Rank:

#394 in Books (See Top 100 in Books)

 #1 in Historical Germany Biographies
 #2 in Jewish Biographies
 #3 in Jewish Holocaust History






Customer Reviews:







4.8 out of 5 stars








9,013 ratings












",in Historical Germany Biographies,https://www.amazon.com/Anne-Frank-Diary-Young-Girl/dp/0553296981/ref=sr_1_170?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-170
"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)",,"
Expand your journaling with this five-year memory book journal, a tactile version of the bestselling One Line a Day memory book. Jot down ideas or highlights one page for every day and compare your entries to the same date in years past in this notebook. This small handsome book features a rich oatmeal-colored, canvas cloth case, striking metallic page edges, and a ribbon page marker and one line for every day. • An excellent gift for graduates, adventurers, dreamers, and anyone embarking on a new phase of life • Capture your memories and ideas and reflect on past entries • A clean, modern, and sophisticated multi-year journal Journal keepers who use One Line A Day, Floral One Line a Day, or Modern One Line a Day will love this journal• Fans of journaling • Recent graduates• New parents • Scrapbook and diary keepers 

",Chronicle Books,,4.7,1.22,$15.26,$16.95,Diary,2019-01-29,"



Product details





Publisher
:

Chronicle Books (January 29, 2019)


Language
:

English


Diary
:

372 pages


ISBN-10
:

1452174792


ISBN-13
:

978-1452174792


Item Weight
:

8.2 ounces


Dimensions
:

4 x 1.25 x 6.5 inches






Best Sellers Rank:

#2,100 in Books (See Top 100 in Books)

 #3 in Literary Diaries & Journals
 #3 in Children's Journal Writing
 #10 in Guided Journals






Customer Reviews:







4.7 out of 5 stars








1,220 ratings












",,https://www.amazon.com/Canvas-One-Line-Day-Five-Year/dp/1452174792/ref=sr_1_171?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-171
"Wings of Fire Box Set, The Jade Mountain Prophecy (Books 6-10)",,"
The #1 New York Times bestselling Wings of Fire series is more collectible than ever in this five-book paperback boxed set!The bestselling Wings of Fire series continues with five more thrilling dragon adventures, now in a gift-ready boxed set: Moon Rising, Winter Turning, Escaping Peril, Talons of Power, and Darkness of Dragons.

",Scholastic,Ages: 8 - 12 years,4.9,1.746,$35.96,$39.95,Paperback,2019-10-01,"



Product details





Publisher
:

Scholastic Paperbacks; Reprint edition (October 1, 2019)


Language
:

English


ISBN-10
:

1338598899


ISBN-13
:

978-1338598896


Reading age
:

8 - 12 years


Grade level
:

3 - 7


Item Weight
:

2.65 pounds


Dimensions
:

5.25 x 4.5 x 7.75 inches






Best Sellers Rank:

#1,663 in Books (See Top 100 in Books)

 #13 in Children's Dragon, Unicorn & Mythical Stories
 #69 in Children's Friendship Books
 #70 in Children's Fantasy & Magic Books






Customer Reviews:







4.9 out of 5 stars








1,746 ratings












",,https://www.amazon.com/Wings-Fire-Mountain-Prophecy-Books/dp/1338598899/ref=sr_1_172?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-172
The Baby-Sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),,"
A box set of the bestselling Baby-sitters Club graphic novels, adapted by Raina Telgemeier and Gale Galligan!Join Kristy, Mary Anne, Claudia, Stacey, Dawn, and Mallory on their baby-sitting adventures! No matter what comes up -- cranky toddlers, huge dogs, scary neighbors, prank calls -- you can count on the BSC to save the day.Bestselling cartoonists Raina Telgemeier (Books #1-4) and Gale Galligan (Books #5-7) perfectly capture all the drama and humor of the original novels by Ann M. Martin. This box set is perfect for both newcomers and longtime fans!

",Gale Galligan,Ages: 8 - 12 years,4.8,2.229,$47.26,$76.93,Paperback,2019-11-05,"



Product details





Publisher
:

Graphix; Color ed. edition (November 5, 2019)


Language
:

English


ISBN-10
:

1338603639


ISBN-13
:

978-1338603637


Reading age
:

8 - 12 years


Grade level
:

3 - 7


Item Weight
:

4.5 pounds


Dimensions
:

5.7 x 4.1 x 8.1 inches






Best Sellers Rank:

#1,818 in Books (See Top 100 in Books)

 #3 in Children's Babysitting Books
 #39 in Children's Comics & Graphic Novels (Books)
 #75 in Children's Friendship Books






Customer Reviews:







4.8 out of 5 stars








2,229 ratings












",,https://www.amazon.com/Baby-Sitters-Club-Graphic-Novels-1-7/dp/1338603639/ref=sr_1_173?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-173
Amelia Bedelia Chapter Book 4-Book Box Set: Books 1-4,,"
Amelia Bedelia is all boxed up—literally! This box set includes the first four funny books in the bestselling Amelia Bedelia Chapter Book series and will be a welcome gift for early readers who like to giggle.Short, fast-paced chapters, tons of friends and funny situations, and black-and-white illustrations on every page make the Amelia Bedelia chapter books an ideal choice for readers of the Ivy + Bean, Magic Tree House, and Junie B. Jones books. Each book features a guide to the idioms introduced in the story.If you're looking for chapter books for kids ages 6-8, don't miss Amelia Bedelia! The Amelia Bedelia books have sold more than 35 million copies.This Amelia Bedelia chapter book boxed set makes a great gift and a wonderful way to introduce newly independent readers to a favorite character. The four paperbacks in this set are: Amelia Bedelia Means Business, Amelia Bedelia Unleashed, Amelia Bedelia Road Trip! and Amelia Bedelia Goes Wild!

",Herman Parish,Ages: 6 - 10 years,4.8,3.28,$16.26,$23.96,Paperback,2014-09-02,"



Product details





ASIN
:

0062334204


Publisher
:

Greenwillow Books; Illustrated edition (September 2, 2014)


Language
:

English


Paperback
:

160 pages


ISBN-10
:

9780062334206


ISBN-13
:

978-0062334206


Reading age
:

6 - 10 years


Lexile measure
:

690L


Grade level
:

1 - 5


Item Weight
:

1.09 pounds


Dimensions
:

5.19 x 1.51 x 8.07 inches






Best Sellers Rank:

#1,274 in Books (See Top 100 in Books)

 #10 in Children's Chapter Books (Books)
 #99 in Children's Humor






Customer Reviews:







4.8 out of 5 stars








3,280 ratings












",,https://www.amazon.com/Amelia-Bedelia-Chapter-Book-Box/dp/0062334204/ref=sr_1_174?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-174
"Carson Dellosa Colors and Shapes Flash Cards—Double-Sided, Essential Shapes, Basic Colors, Names With Illustrations, Early Math and Reading Comprehension Practice Set (54 pc)",,"
FLASHCARD FEATURES: • Ages 4+, Preschool-Kindergarten • 54 cards, 3.25 inches x 5.25 inches • Covers basic color and shape recognition and the word association • Each card features colorful illustrations • Rounded corners for easy turning and sorting HANDS-ON PRACTICE: Making learning easy and fun, our Colors and Shapes Flashcards teaches and reinforces six basic shapes and nine colors to build essential learning skills. Suitable for ages four years and up, these cards are brightly colored and include the color and shape name on each card for building a solid foundation in early math and reading learning. WHAT’S INCLUDED: Each set of flashcards includes six shapes in nine basic colors on one side and a bright pattern on the opposite side. The math flashcards feature circles, ovals, triangles, squares, rectangles and rhombuses, each displayed in red, orange, green, blue, purple, yellow, brown, black and white. HOW IT WORKS: Use the double-sided flash cards to reinforce color and shape recognition with illustrations and names to go along with each card. Practicing word association with the flashcards helps to increase concentration and help build the listening, memorization and recall skills necessary for learning success. WORKING TOGETHER: A great teaching tool for both parents and teachers, these flash cards provide an easy way to review early math and language arts skills at home, in a small group setting, the classroom, or on the go. The flashcards are made with a glossy cardstock to easily sort through words for hands-on practice with your child. WHY CARSON DELLOSA: Founded by two teachers more than 40 years ago, Carson Dellosa believes that education is everywhere and is passionate about making products that inspire life's learning moments.

",Brighter Child,Ages: 4 - 7 years,4.7,17.938, $2.09,,Cards,2006-03-15,"



Product details





Publisher
:

Brighter Child; Crds edition (March 15, 2006)


Language
:

English


Cards
:

54 pages


ISBN-10
:

0769646891


ISBN-13
:

978-0769646893


Reading age
:

4 - 7 years


Item Weight
:

7.2 ounces


Dimensions
:

3.5 x 1 x 5.5 inches






Best Sellers Rank:

#141 in Books (See Top 100 in Books)

 #1 in Children's Size & Shape Books
 #2 in Children's Colors Books






Customer Reviews:







4.7 out of 5 stars








17,938 ratings












",in Children's Size & Shape Books,https://www.amazon.com/Colors-Shapes-Flash-Cards-Brighter/dp/0769646891/ref=sr_1_175?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-175
How to Draw 101 Animals (1),,"
Simple step-by-step line illustrations make it easy for children to draw with confidence. Each title contains 101 different images in all manner of shapes, sizes and poses.

",Dan Green,Ages: 5 years and up,4.7,12.407,$14.98,,Paperback,2003-07-01,"



Product details





Publisher
:

Imagine That; Illustrated edition (July 1, 2003)


Language
:

English


Paperback
:

48 pages


ISBN-10
:

1842297406


ISBN-13
:

978-1842297407


Reading age
:

5 years and up


Grade level
:

3 - 4


Item Weight
:

7.2 ounces


Dimensions
:

8.5 x 0.2 x 11 inches






Best Sellers Rank:

#399 in Books (See Top 100 in Books)

 #1 in Children's Drawing Books (Books)
 #25 in Children's Activity Books (Books)






Customer Reviews:







4.7 out of 5 stars








12,407 ratings












",in Children's Drawing Books,https://www.amazon.com/How-Draw-101-Animals-Green/dp/1842297406/ref=sr_1_176?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-176
"Humble Math - 100 Days of Timed Tests: Multiplication: Grades 3-5, Math Drills, Digits 0-12, Reproducible Practice Problems",,"
100 days of multiplication problems. Discover the difference a couple minutes of practice can make. These are reproducible practice sheets to help students learn their multiplication facts and recall them with fluidity. This book focuses on digits 0-12. An answer key is included in the back of this book, so students can easily check their own work.

",Humble Math,Ages: 7 - 11 years,4.8,5.3260000000000005,$4.98,,Paperback,2019-02-07,"



Product details





Publisher
:

Karl Steam (February 7, 2019)


Language
:

English


Paperback
:

107 pages


ISBN-10
:

1635783011


ISBN-13
:

978-1635783018


Reading age
:

7 - 11 years


Grade level
:

2 - 4


Item Weight
:

9.5 ounces


Dimensions
:

8.5 x 0.25 x 11 inches






Best Sellers Rank:

#208 in Books (See Top 100 in Books)

 #1 in Test Flash Cards
 #1 in Popular & Elementary Arithmetic (Books)
 #1 in Children's Arithmetic Books






Customer Reviews:







4.8 out of 5 stars








5,326 ratings












",in Test Flash Cards,https://www.amazon.com/Humble-Math-Multiplication-Reproducible-Practice/dp/1635783011/ref=sr_1_177?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-177
When God Made You,,"
YOU, you… God thinks about you.God was thinking of you long before your debut.From early on, children are looking to discover their place in the world and longing to understand how their personalities, traits, and talents fit in. The assurance that they are deeply loved and a unique creation in our big universe is certain to help them spread their wings and fly.  Through playful, charming rhyme and vivid, fantastical illustrations, When God Made You inspires young readers to learn about their own special gifts and how they fit into God’s divine plan as they grow, explore, and begin to create for themselves.  ‘Cause when God made YOU, somehow God knewThat the world needed someone exactly like you!

",Matthew Paul Turner,Ages: 3 - 7 years,4.9,11.776,$6.99,$8.99,Hardcover,2017-02-28,"



Product details





Publisher
:

Convergent Books; Illustrated edition (February 28, 2017)


Language
:

English


Hardcover
:

48 pages


ISBN-10
:

1601429185


ISBN-13
:

978-1601429186


Reading age
:

3 - 7 years


Grade level
:

Preschool - 2


Item Weight
:

11.5 ounces


Dimensions
:

8.76 x 0.3 x 8.8 inches






Best Sellers Rank:

#528 in Books (See Top 100 in Books)

 #1 in Children's Christian Social Issues Fiction
 #3 in Children's Christian Family Fiction
 #3 in Children's First Communion Religion Books






Customer Reviews:







4.9 out of 5 stars








11,776 ratings












",in Children's Christian Social Issues Fiction,https://www.amazon.com/When-Made-Matthew-Paul-Turner/dp/1601429185/ref=sr_1_178?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-178
"School Zone - Go Fish Alphabet Game Cards - Ages 4 and Up, Preschool to First Grade, Uppercase and Lowercase Letters, ABCs, Word-Picture Recognition, Animals, Card Game, Matching, and More",,"
Find our complete line of educational resources at Amazon.com/SchoolZonePublishing. CARD FEATURES  Set includes 56 cards: 26 uppercase, 26 lowercase, 3 index, 1 parent   For ages 4+   Large 3.375"" x 6.375"" cards with easy-to-sort rounded corners   Colorful adult and baby animal illustrations   Big, easy-to-read letters and animal names   Teaches uppercase and lowercase letters  Index cards feature young animals and their common names   Parent card includes 4 games: Go Fish, Alphabetical Order, Match the Letter, Make a Word   Portable and perfect for on-the-go learning!  AMAZING - Little ones will enjoy playing a smarter version of Go Fish. In this Go Fish game, winning involves drawing the most upper and lowercase letter pairs flash cards. Here, each pair is represented by a parent and child animal. There are even age-appropriate terms, like ""hatchling"" for baby alligator. This pack is intended for children ages 4 and up. With activities for two or more players, our Go Fish Alphabet Game Cards emphasize turn-taking and cooperation. Or, kids can have fun matching letters and creating words on their own. Involve your child in these valuable pre-reading skills today and make preschool, kindergarten, and first grade all the more enjoyable, with these flash cards kids are sure to enjoy!FLASH CARDS FOR KIDS - Kids and parents who use our flashcards for practice testing are using one of the most effective learning techniques available. A hundred years of research shows practice testing is highly likely to boost retention. Learning skills through gameplay is an excellent strategy for many reasons. Kids learning card games are fun and motivating, and games also tend to help children deepen their understanding and reasoning. Because games feel more like play than work, they can encourage kids to explore and experiment with concepts more freely. RESULTS - Our learning materials have helped educate three generations of kids, creating lifelong learners, and the legacy continues. Digital content, kids flash cards, language and math workbooks, readers, toys, and learning card games are all crafted through a child s eyes while integrating parent and teacher standards. PREPARATION - Let us help you prepare your young children for the next grade level with our workbooks, flashcards, learning card games for kids, books and a Little Scholar Tablet. Keep kids ""classroom ready"" with these great supplemental learning tools and more! AWARD WINNING - School Zone content has won The Parents Choice Foundation Award, Tillywig Toy Awards, Brainchild Award, Family Choice Award, Mom's Choice Awards Honoring Excellence, Gold Star Toy Scholastic Parent and Child Award and many more.School Zone Publishing - Nourishing Young MindsOUR STORY - Almost 40 years ago, long-time educators James Hoffman, Ed.D., and his wife Joan Hoffman, M.A., began a retail supply outlet for teachers, then soon identified a need for at-home learning materials to help parents support and supplement their children s classroom instruction. School Zone Publishing fast emerged as the market leader in workbooks and flashcards for preschoolers through sixth graders. School Zone remains family-owned, focused on excellence, responsive to customers, alert to emerging technology, and committed to the community. We continually update our products with new features and content, reflective of changing standards, evolving teaching methods, and overall best practices. As just one example, we update our kids workbook curriculum on an as-needed basis to address changing standards such as those presented by the National Council of Teachers of Mathematics (NCTM) and Common Core.

",School Zone,Ages: 4 - 9 years,4.8,4.717,$2.67,,Mass Market Paperback,1980-06-01,"



Product details





Publisher
:

School Zone Publishing; Game Cards edition (June 1, 1980)


Language
:

English


Mass Market Paperback
:

56 pages


ISBN-10
:

0887432719


ISBN-13
:

978-0887432712


Reading age
:

4 - 9 years


Grade level
:

Preschool - 3


Item Weight
:

5.7 ounces


Dimensions
:

3.5 x 0.5 x 5.5 inches



Domestic Shipping:

Item can be shipped within U.S.


International Shipping:

This item can be shipped to select countries outside of the U.S.  Learn More






Best Sellers Rank:

#212 in Books (See Top 100 in Books)

 #1 in Children's Marine Life Books
 #2 in Children's Game Books (Books)
 #9 in Schools & Teaching (Books)






Customer Reviews:







4.8 out of 5 stars








4,717 ratings












",in Children's Marine Life Books,https://www.amazon.com/School-Zone-Uppercase-Word-Picture-Recognition/dp/0887432719/ref=sr_1_179?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-179
My Magical Words (The Magic of Me Series),Book 1 of 5: The Magic of Me Series,"
Do you want to increase confidence in your children and promote strong self-esteem?Teach children their words have power and how they speak about themselves is important!  What we say we feel! What we feel we believe! What we believe we become! Have you ever heard your child say...I am bad at it! Nobody likes me. I can't do it!It's heartbreaking to hear children say negative things about themselves, but ALL children struggle with learning to manage emotions. And now you can help! My Magical Words is the experience children need to grow self-love and build confidence. It is a first book of positive affirmations.Children will learn to SAY I am statements that empower them to FEEL and BELIEVE they are special, loved, smart, beautiful, strong, healthy, and more.Your special time with your children will soar to a new level as you show them that words have power and what they say about themselves matters. Teaching your children positive self-talk at an early age will lay the foundation for future success! A perfect book for boys and girls ages 3, 4, 5, 6, 7 or 8. Get the child or classroom teacher in your life a copy today! If you loved other books to inspire young thinkers to greatness such as Kindness Starts with You, I Can Handle It, The Wonderful Things You Will Be, or I Wish You More, then this book will be the perfect addition to your child's library collection. 

",Becky Cummings,,4.8,2.658,$14.63,$17.99,Hardcover,2019-05-14,"



Product details





Publisher
:

Boundless Movement (March 8, 2020)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

1732596344


ISBN-13
:

978-1732596344


Item Weight
:

14.4 ounces






Best Sellers Rank:

#951 in Books (See Top 100 in Books)

 #1 in Parenting Hyperactive Children (Books)
 #2 in Children's Inspirational Books
 #2 in Children's Philosophy Books (Books)






Customer Reviews:







4.8 out of 5 stars








2,658 ratings












",in Parenting Hyperactive Children,https://www.amazon.com/My-Magical-Words-Magic-Me/dp/1732596344/ref=sr_1_180?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-180
The Boxcar Children Books 1-4 ( Cover may Vary ),Book 1 of 4: The Boxcar Children Mysteries,"
The paperback editions of The Boxcar Children Mysteries: #1, The Boxcar Children; #2, Surprise Island; #3, The Yellow House Mystery; and #4, Mystery Ranch are offered together in a cardboard case. Follow Henry, Jessie, Violet, and Benny Alden as they explore the world on their own, solve mysteries, and search for home.

",Gertrude Chandler Warner,Ages: 7 - 10 years,4.8,4.4,$15.98,$24.99,Paperback,1990-09-01,"



Product details





Publisher
:

Albert Whitman & Company; unknown edition (September 1, 1990)


Language
:

English


Paperback
:

160 pages


ISBN-10
:

0807508543


ISBN-13
:

978-0807508541


Reading age
:

7 - 10 years


Grade level
:

1 - 5


Item Weight
:

1.62 pounds


Dimensions
:

5.31 x 2 x 7.69 inches






Best Sellers Rank:

#865 in Books (See Top 100 in Books)

 #5 in Children's Orphans & Foster Homes Books (Books)
 #6 in Children's Mystery, Detective, & Spy
 #8 in Children's Siblings Books (Books)






Customer Reviews:







4.8 out of 5 stars








4,400 ratings












",,https://www.amazon.com/Boxcar-Children-Books-1-4/dp/0807508543/ref=sr_1_181?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-181
Wish,,"
Don't miss Barbara O'Connor's other middle-grade work―like Wonderland; How to Steal a Dog; Greetings from Nowhere; Fame and Glory in Freedom, Georgia; The Fantastic Secret of Owen Jester; and more!A touching, New York Times–bestselling story about a girl and her dog, perfect for young animal lovers.Eleven-year-old Charlie Reese has been making the same secret wish every day since fourth grade. She even has a list of all the ways there are to make the wish, such as cutting off the pointed end of a slice of pie and wishing on it as she takes the last bite. But when she is sent to the Blue Ridge Mountains of North Carolina to live with family she barely knows, it seems unlikely that her wish will ever come true. That is until she meets Wishbone, a skinny stray dog who captures her heart, and Howard, a neighbor boy who proves surprising in lots of ways. Suddenly Charlie is in serious danger of discovering that what she thought she wanted may not be what she needs at all. From award-winning author Barbara O'Connor comes a middle-grade novel about a girl who, with the help of a true-blue friend, a big-hearted aunt and uncle, and the dog of her dreams, unexpectedly learns the true meaning of family in the least likely of places.This title has Common Core connections.

",Barbara O'Connor,Ages: 9 - 12 years,4.7,5.492000000000001,$5.36,$7.99,Paperback,2017-08-29,"



Product details





Publisher
:

Square Fish; Reprint edition (August 29, 2017)


Language
:

English


Paperback
:

256 pages


ISBN-10
:

1250144051


ISBN-13
:

978-1250144058


Reading age
:

9 - 12 years


Lexile measure
:

850L


Grade level
:

4 - 7


Item Weight
:

7.2 ounces


Dimensions
:

5.06 x 0.73 x 7.69 inches






Best Sellers Rank:

#372 in Books (See Top 100 in Books)

 #2 in Children's Multigenerational Family Life
 #2 in Children's Pet Books (Books)
 #5 in Children's Dog Books (Books)






Customer Reviews:







4.7 out of 5 stars








5,492 ratings












",,https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051/ref=sr_1_182?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-182
Trapped in a Video Game (Volume 1),Book 1 of 5: Trapped in a Video Game,"
Kids who love video games will love this first installment of the new 5-book series about 12-year old Jesse Rigsby and the wild adventures he encounters inside different video games.Age Level: 8-12  Grade Level: 3rd and up Jesse Rigsby hates video games—and for good reason. You see, a video game character is trying to kill him. After getting sucked in the new game Full Blast with his friend Eric, Jesse starts to see the appeal of vaporizing man-size praying mantis while cruising around by jet pack. But pretty soon, a mysterious figure begins following Eric and Jesse, and they discover they can't leave the game. If they don't figure out what's going on fast, they'll be trapped for good!

",Dustin Brady,Ages: 8 - 12 years,4.7,7.1,$8.99,$9.99,Paperback,2018-04-10,"



Product details





Publisher
:

Andrews McMeel Publishing; Illustrated edition (April 10, 2018)


Language
:

English


Paperback
:

144 pages


ISBN-10
:

1449494862


ISBN-13
:

978-1449494865


Reading age
:

8 - 12 years


Lexile measure
:

640L


Grade level
:

3 - 8


Item Weight
:

8.3 ounces


Dimensions
:

6 x 0.4 x 9 inches






Best Sellers Rank:

#681 in Books (See Top 100 in Books)

 #1 in Children's Programming Books
 #3 in Children's Intermediate Readers
 #3 in Computers & Internet Humor






Customer Reviews:







4.7 out of 5 stars








7,100 ratings












",in Children's Programming Books,https://www.amazon.com/Trapped-Video-Game-Book-1/dp/1449494862/ref=sr_1_183?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-183
I Am Enough,,"
A #1 New York Times bestseller and Goodreads Choice Awards picture book winner! This is the perfect gift for mothers and daughters, baby showers, and graduation.This gorgeous, lyrical ode to loving who you are, respecting others, and being kind to one another comes from Empire actor and activist Grace Byers and talented newcomer artist Keturah A. Bobo.We are all here for a purpose. We are more than enough. We just need to believe it.Plus don't miss I Believe I Can—the next beautiful picture celebrating self-esteem from Grace Byers and Keturah A. Bobo!

",Grace Byers,Ages: 4 - 8 years,4.9,7.244,$0.00,$2.27,Hardcover,2018-03-06,"



Product details





Publisher
:

Balzer + Bray; Illustrated edition (March 6, 2018)


Language
:

English


Hardcover
:

32 pages


ISBN-10
:

0062667122


ISBN-13
:

978-0062667120


Reading age
:

4 - 8 years


Grade level
:

Preschool - 3


Item Weight
:

9.5 ounces


Dimensions
:

10.1 x 10.1 x 0.6 inches






Best Sellers Rank:

#633 in Books (See Top 100 in Books)

 #3 in Children's Bullies Issues Books
 #17 in Children's Self-Esteem Books
 #22 in Children's Emotions Books






Customer Reviews:







4.9 out of 5 stars








7,244 ratings












",,https://www.amazon.com/I-Am-Enough-Grace-Byers/dp/0062667122/ref=sr_1_184?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-184
